# ----------------------------------------
# 流量获取情况: 带来会话的来源/媒介
# 账号：hyde数据看板
# 媒体资源：cantonlock
# ----------------------------------------
# 
# 所有用户
# 开始日期：20260624
# 结束日期：20260921
带来会话的来源/媒介,会话数,感兴趣的会话数,感兴趣的会话占比,每次会话的平均互动时长,每次会话的事件数,事件数,关键事件数,会话关键事件率,总收入
(direct) / (none),3592,278,0.07739420935412027,12.116369710467707,4.130846325167038,14838,0,0,0
(not set),194,0,0,51.108247422680414,5.407216494845361,1049,0,0,0
weixin110.qq.com / referral,135,92,0.6814814814814815,48.17777777777778,9.237037037037037,1247,0,0,0
exhibitors.bau-muenchen.com / referral,51,49,0.9607843137254902,39.19607843137255,6.254901960784314,319,0,0,0
google / organic,49,37,0.7551020408163265,94.38775510204081,7.530612244897959,369,0,0,0
chatgpt.com / ai-assistant,31,16,0.5161290322580645,27.580645161290324,4.387096774193548,136,0,0,0
bing / organic,12,8,0.6666666666666666,44.416666666666664,5.75,69,0,0,0
cn.bing.com / referral,12,10,0.8333333333333334,45,6.833333333333333,82,0,0,0
facebook.com / referral,7,7,1,5.428571428571429,4,28,0,0,0
m.facebook.com / referral,6,0,0,0,3,18,0,0,0
(data not available),5,1,0.2,20.6,4.2,21,0,0,0
cl.pinterest.com / referral,1,1,1,260,16,16,0,0,0
doubao.com / referral,1,1,1,76,6,6,0,0,0
duckduckgo / organic,1,1,1,217,5,5,0,0,0
hydeland.cn / referral,1,1,1,3,7,7,0,0,0
ig / social,1,1,1,32,4,4,0,0,0
ironfarm.tech / referral,1,1,1,2,4,4,0,0,0
l.instagram.com / referral,1,0,0,9,3,3,0,0,0
ph.search.yahoo.com / referral,1,0,0,0,3,3,0,0,0
