# ----------------------------------------
# 用户获取情况: 带来用户首次互动的来源/媒介
# 账号：hyde数据看板
# 媒体资源：cantonlock
# ----------------------------------------
# 
# 所有用户
# 开始日期：20260624
# 结束日期：20260921
带来用户首次互动的来源/媒介,用户总数,新用户数,回访用户数,每位活跃用户的平均互动时长,每位活跃用户的感兴趣会话数,事件数,关键事件数,用户关键事件率
(direct) / (none),3509,3430,28,16.447263397947548,0.09236031927023945,16640,0,0
weixin110.qq.com / referral,73,73,2,28.80821917808219,0.6301369863013698,431,0,0
(not set),59,0,0,2.389830508474576,0,63,0,0
exhibitors.bau-muenchen.com / referral,44,44,6,45.43181818181818,1.1136363636363635,319,0,0
google / organic,35,35,10,132.4,1.0571428571428572,372,0,0
chatgpt.com / ai-assistant,25,25,1,34.2,0.64,136,0,0
bing / organic,12,12,0,44.416666666666664,0.6666666666666666,69,0,0
cn.bing.com / referral,12,12,0,45,0.8333333333333334,82,0,0
facebook.com / referral,7,7,0,5.428571428571429,1,28,0,0
m.facebook.com / referral,6,6,0,0,0,18,0,0
(data not available),5,5,0,20.6,0.2,21,0,0
cl.pinterest.com / referral,1,1,0,260,1,16,0,0
doubao.com / referral,1,1,0,76,1,6,0,0
duckduckgo / organic,1,1,0,217,1,5,0,0
hydeland.cn / referral,1,1,0,3,1,7,0,0
ig / social,1,1,0,32,1,4,0,0
ironfarm.tech / referral,1,1,0,2,1,4,0,0
ph.search.yahoo.com / referral,1,1,0,0,0,3,0,0
