cantonlock_slug,cantonlock_model,cantonlock_spec_rows,stahlock_id,stahlock_url,stahlock_model,label,stahlock_value,type,cantonlock_existing,evidence
016-exterior-trim,016,3,2436,https://stahlock.com/index.php?id=2436,016,Product Type,Panic Exit Device Accessory,new,,Product Type: Panic Exit Device Accessory
016-exterior-trim,016,3,2436,https://stahlock.com/index.php?id=2436,016,Compatible With,Panic Exit Device / Panic Bar,new,,Compatible With: Panic Exit Device / Panic Bar
016-exterior-trim,016,3,2436,https://stahlock.com/index.php?id=2436,016,Body Material,Zinc Alloy,new,,Body Material: Zinc Alloy
016-exterior-trim,016,3,2436,https://stahlock.com/index.php?id=2436,016,Handle Material,Zinc Alloy,new,,Handle Material: Zinc Alloy
016-exterior-trim,016,3,2436,https://stahlock.com/index.php?id=2436,016,Spindle Material,Iron,new,,Spindle Material: Iron
016-exterior-trim,016,3,2436,https://stahlock.com/index.php?id=2436,016,Key Material,Iron,new,,Key Material: Iron
016-exterior-trim,016,3,2436,https://stahlock.com/index.php?id=2436,016,Operation,Key Operated,new,,Operation: Key Operated
016-exterior-trim,016,3,2436,https://stahlock.com/index.php?id=2436,016,Door Handing,Left & Right Reversible,new,,Door Handing: Left & Right Reversible
016-exterior-trim,016,3,2436,https://stahlock.com/index.php?id=2436,016,Suitable Doors,Fire Doors / Emergency Exit Doors / Commercial Doors,new,,Suitable Doors: Fire Doors / Emergency Exit Doors / Commercial Doors
100-glass-door-handle,100,3,2214,https://stahlock.com/index.php?id=2214,100,Model Size,Ø32 × 300 × 600 mm,new,,Model Size: Ø32 × 300 × 600 mm
100-glass-door-handle,100,3,2214,https://stahlock.com/index.php?id=2214,100,Material,SUS 304 Stainless Steel,conflict,304 stainless steel,Material: SUS 304 Stainless Steel
100-glass-door-handle,100,3,2214,https://stahlock.com/index.php?id=2214,100,Tube Thickness,1.0 mm (Optional: 0.8 mm),new,,Tube Thickness: 1.0 mm (Optional: 0.8 mm)
100-glass-door-handle,100,3,2214,https://stahlock.com/index.php?id=2214,100,Door Compatibility,10–12 mm glass doors,new,,Door Compatibility: 10–12 mm glass doors
102-glass-door-handle,102,3,2215,https://stahlock.com/index.php?id=2215,102,Material,SUS 304 Stainless Steel,conflict,304 stainless steel,Material: SUS 304 Stainless Steel
102-glass-door-handle,102,3,2215,https://stahlock.com/index.php?id=2215,102,Tube Thickness,1.0 mm (optional: 0.8 mm),new,,Tube Thickness: 1.0 mm (optional: 0.8 mm)
102-glass-door-handle,102,3,2215,https://stahlock.com/index.php?id=2215,102,Door Thickness,10–12 mm,new,,Door Thickness: 10–12 mm
102-glass-door-handle,102,3,2215,https://stahlock.com/index.php?id=2215,102,Size,Ø32 × 300 × 600 mm,conflict,32x300x600 mm,Size: Ø32 × 300 × 600 mm
